,Mean,2.5%,97.5%,ESS,Rhat
"beta_Trust_Scientists[1,1]",-0.13,-2.0,1.8,5436,1.0
"beta_Trust_Scientists[2,1]",-0.17,-2.05,1.72,4964,1.0
"beta_Trust_Scientists[1,2]",-0.26,-2.11,1.68,5491,1.0
"beta_Trust_Scientists[2,2]",-0.13,-2.01,1.76,4896,1.0
mu_beta_Trust_Scientists[1],-0.1,-1.63,1.48,5174,1.0
mu_beta_Trust_Scientists[2],-0.13,-1.69,1.45,4697,1.0
"beta_Trust_Govt_Websites[1,1]",-0.28,-2.3,1.63,5423,1.0
"beta_Trust_Govt_Websites[2,1]",-0.17,-2.1,1.8,5424,1.0
"beta_Trust_Govt_Websites[1,2]",-0.17,-2.18,1.77,5240,1.0
"beta_Trust_Govt_Websites[2,2]",-0.2,-2.16,1.78,5376,1.0
mu_beta_Trust_Govt_Websites[1],-0.15,-1.76,1.44,5245,1.0
mu_beta_Trust_Govt_Websites[2],-0.13,-1.77,1.49,5453,1.0
"beta_Trust_Social_Media[1,1]",-0.22,-2.22,1.65,4944,1.0
"beta_Trust_Social_Media[2,1]",-0.3,-2.16,1.63,5200,1.0
"beta_Trust_Social_Media[1,2]",-0.2,-2.15,1.67,4845,1.0
"beta_Trust_Social_Media[2,2]",-0.05,-1.91,1.85,5334,1.0
mu_beta_Trust_Social_Media[1],-0.17,-1.8,1.44,5262,1.0
mu_beta_Trust_Social_Media[2],-0.08,-1.62,1.44,5177,1.0
"beta_Trust_Celebrities[1,1]",-0.65,-2.66,1.35,4917,1.0
"beta_Trust_Celebrities[2,1]",0.05,-1.94,2.07,5296,1.0
"beta_Trust_Celebrities[1,2]",0.18,-1.83,2.26,5004,1.0
"beta_Trust_Celebrities[2,2]",-0.43,-2.45,1.57,5445,1.0
mu_beta_Trust_Celebrities[1],-0.2,-1.82,1.41,4903,1.0
mu_beta_Trust_Celebrities[2],-0.1,-1.69,1.51,5279,1.0
"beta_Trust_Search_Engines[1,1]",-0.1,-2.04,1.81,6152,1.0
"beta_Trust_Search_Engines[2,1]",-0.26,-2.23,1.64,5449,1.0
"beta_Trust_Search_Engines[1,2]",-0.34,-2.3,1.62,6019,1.0
"beta_Trust_Search_Engines[2,2]",-0.07,-2.03,1.87,5485,1.0
