,Mean,2.5%,97.5%,ESS,Rhat
"delta[2,1]",0.37,0.35,0.4,3507,1.0
"delta[1,2]",0.33,0.28,0.39,5687,1.0
"delta[2,2]",0.3,0.27,0.34,4841,1.0
"delta[1,3]",0.23,0.16,0.3,2963,1.0
"delta[2,3]",0.32,0.28,0.37,2857,1.0
mu_alpha[1],-1.53,-2.96,-0.12,2180,1.0
mu_alpha[2],0.79,-0.65,2.2,2280,1.0
mu_alpha[3],2.29,0.87,3.73,2134,1.0
"alpha[1,1]",-2.55,-4.02,-1.08,1674,1.0
"alpha[2,1]",-2.04,-3.56,-0.59,1484,1.0
"alpha[1,2]",1.45,-0.05,2.87,1734,1.0
"alpha[2,2]",0.93,-0.59,2.41,1523,1.0
"alpha[1,3]",3.81,2.32,5.29,1760,1.0
"alpha[2,3]",3.04,1.55,4.51,1535,1.0
